axis,domain,task,applicable,baseline,median,lo,hi,param_source,shift,interval_contains_baseline
VAL,Random error,Causal,190,0.315789473684211,0.321052631578947,0.315789473684211,0.352631578947368,measured,0.00526315789473686,TRUE
VAL,Random error,Descriptive,55,0.254545454545455,0.254545454545455,0.254545454545455,0.309090909090909,measured,0,TRUE
VAL,Selection bias,Causal,229,0.799126637554585,0.646288209606987,0.231331877729258,0.877729257641921,measured,-0.152838427947598,TRUE
VAL,Selection bias,Descriptive,81,0.679012345679012,0.530864197530864,0.148148148148148,0.716049382716049,measured,-0.148148148148148,TRUE
VAL,Measurement bias,Causal,229,1,1,0.995633187772926,1,measured,0,TRUE
VAL,Measurement bias,Descriptive,81,0.987654320987654,0.975308641975309,0.925925925925926,1,measured,-0.0123456790123456,TRUE
VAL,Confounding bias,Causal,229,0.877729257641921,0.663755458515284,0.222598253275109,0.873362445414847,imputed (max),-0.213973799126638,FALSE
VAL,Missing data,Causal,229,0.22707423580786,0.327510917030568,0.14410480349345,0.716157205240175,imputed (max),0.100436681222707,TRUE
VAL,Missing data,Descriptive,81,0.135802469135802,0.185185185185185,0.0617283950617284,0.481481481481481,imputed (max),0.0493827160493827,TRUE
VAL,Mentioning errors,Causal,229,0,0,0,0,not applicable,0,TRUE
VAL,Mentioning errors,Descriptive,81,0,0,0,0,not applicable,0,TRUE
VAL,Conflating task,Descriptive,81,0.641975308641975,0.506172839506173,0.160493827160494,0.704012345679011,imputed (max),-0.135802469135802,TRUE
REP,Random error,Causal,190,0.568421052631579,0.563157894736842,0.542105263157895,0.568421052631579,measured,-0.00526315789473686,TRUE
REP,Random error,Descriptive,55,0.636363636363636,0.636363636363636,0.6,0.636363636363636,measured,0,TRUE
REP,Selection bias,Causal,229,0.0873362445414847,0.253275109170306,0.074235807860262,0.650655021834061,measured,0.165938864628821,TRUE
REP,Selection bias,Descriptive,81,0,0,0,0.0123456790123457,measured,0,TRUE
REP,Measurement bias,Causal,229,0,0,0,0,not applicable,0,TRUE
REP,Measurement bias,Descriptive,81,0,0,0,0,not applicable,0,TRUE
REP,Confounding bias,Causal,229,0,0,0,0,not applicable,0,TRUE
REP,Missing data,Causal,229,0.331877729257642,0.449781659388646,0.165938864628821,0.733624454148472,measured,0.117903930131004,TRUE
REP,Missing data,Descriptive,81,0.308641975308642,0.382716049382716,0.160493827160494,0.691358024691358,measured,0.0740740740740741,TRUE
REP,Mentioning errors,Causal,229,0.283842794759825,0.283842794759825,0.0218340611353712,0.698689956331878,measured,0,TRUE
REP,Mentioning errors,Descriptive,81,0.407407407407407,0.376543209876543,0.0246913580246914,0.728395061728395,measured,-0.0308641975308642,TRUE
REP,Conflating task,Descriptive,81,0,0,0,0,not applicable,0,TRUE
